Codigo da Paragem,Nome da Paragem,Zona,Latitude,Longitude
CUS4,CUSTÓIAS,MAI1,41.2024,-8.64204
TFV2,TV.FONTE VELHA,MAI1,41.1994,-8.64
AVLH2,AVILHÓ,MAI1,41.1965,-8.6385
RDS2,R. DO SENHOR,MAI1,41.1943,-8.63574
PLG2,PADRÃO DA LÉGUA,MAI1,41.1918,-8.63353
CSXN2,C. SEIXO (NORTE),MAI1,41.1896,-8.63287
FGT2,FOGUETEIROS (SUL),MAI1,41.1869,-8.63224
CSXS2,C. SEIXO (SUL),MAI1,41.1833,-8.63129
MTB4,MONTE DOS BURGOS,MAI1,41.1812,-8.63041
SRPT2,S.RA DO PORTO,PRT2,41.1775,-8.62869
PPR2,PARQUE DA PRELADA,PRT2,41.1751,-8.62766
PPR1,PARQUE DA PRELADA,PRT2,41.1753,-8.62754
LARZ,LAROZE ROCHA,PRT2,41.1762,-8.62415
STLZ1,STA. LUZIA,PRT2,41.1774,-8.6247
BRA4,BR. DO AMIAL,PRT2,41.1767,-8.62072
MIS3,MIOSÓTIS,PRT2,41.1778,-8.61902
TLHR2,TELHEIRA,PRT3,41.1772,-8.61415
AVTE1,ALMEIDA VALENTE,PRT3,41.1768,-8.61127
ISEP1,I.S.E.P.,PRT3,41.1786,-8.60914
ISEP2,I.S.E.P.,PRT3,41.1783,-8.60927
ISEP4,ISEP/AGRA,PRT3,41.1765,-8.60811
ISEP3,ISEP/AGRA,PRT3,41.1764,-8.60792
ESS1,ESCOLA SUPERIOR SAÚDE,PRT3,41.1781,-8.60587
PUNV,PÓLO UNIVERSITÁRIO (METRO),PRT3,41.1764,-8.60347
